,Movie,Release year,IMDB rating,Meta-score,Number of votes
0,Deadpool,2016,8.0,65,885078
1,Captain America: Civil War,2016,7.8,75,647205
2,Doctor Strange,2016,7.5,72,581554
3,Arrival,2016,7.9,81,578699
4,Rogue One,2016,7.8,65,540639
5,La La Land,2016,8.0,94,490536
6,Zootopia,2016,8.0,78,423045
7,Hacksaw Ridge,2016,8.1,71,420925
8,Split,2016,7.3,62,410207
9,Fantastic Beasts and Where to Find Them,2016,7.3,66,400172
10,10 Cloverfield Lane,2016,7.2,76,284221
11,The Nice Guys,2016,7.4,70,271537
12,Moonlight,2016,7.4,99,265103
13,Moana,2016,7.6,81,262704
14,The Jungle Book,2016,7.4,77,255596
15,Manchester by the Sea,2016,7.8,96,239565
16,Finding Dory,2016,7.3,77,234591
17,Sully,2016,7.4,74,231257
18,Nocturnal Animals,2016,7.5,67,230821
19,Star Trek Beyond,2016,7.1,68,224057
20,The Conjuring 2,2016,7.3,65,219083
21,Don't Breathe,2016,7.1,71,214040
22,Lion,2016,8.0,69,207809
23,Hell or High Water,2016,7.6,88,199218
24,Hidden Figures,2016,7.8,74,194336
25,Captain Fantastic,2016,7.9,72,183243
26,Kimi no na wa.,2016,8.4,79,181041
27,The Secret Life of Pets,2016,6.5,61,179828
28,Sausage Party,2016,6.1,66,172590
29,Train to Busan,2016,7.6,72,154467
30,Deepwater Horizon,2016,7.1,68,147592
31,Kung Fu Panda 3,2016,7.1,66,130465
32,"Hail, Caesar!",2016,6.3,72,121931
33,The Founder,2016,7.2,66,118888
34,Kubo and the Two Strings,2016,7.8,84,115513
35,Ah-ga-ssi,2016,8.1,84,105971
36,Hunt for the Wilderpeople,2016,7.9,81,105379
37,Swiss Army Man,2016,7.0,64,103552
38,The Edge of Seventeen,2016,7.3,77,101275
39,Hush,2016,6.6,67,97853
40,Silence,2016,7.2,79,97676
41,Fences,2016,7.2,79,95701
42,The Autopsy of Jane Doe,2016,6.8,65,94224
43,Patriots Day,2016,7.4,69,88674
44,Sing Street,2016,7.9,79,83185
45,A Monster Calls,2016,7.5,76,78957
46,The Lost City of Z,2016,6.6,78,76616
47,The BFG,2016,6.4,66,75822
48,Midnight Special,2016,6.6,76,73941
49,Jackie,2016,6.7,81,71741
50,Café Society,2016,6.6,64,69339
51,Paterson,2016,7.4,90,67509
52,The Infiltrator,2016,7.0,66,66704
53,Miss Sloane,2016,7.5,64,62099
54,Elle,2016,7.1,89,59893
55,Blood Father,2016,6.4,66,58405
56,Grave,2016,7.0,81,58324
57,Colossal,2016,6.2,70,57640
58,Popstar: Never Stop Never Stopping,2016,6.7,68,53380
59,The Girl with All the Gifts,2016,6.6,67,53267
60,Pete's Dragon,2016,6.7,71,53126
61,Ouija: Origin of Evil,2016,6.1,65,52535
62,"I, Daniel Blake",2016,7.9,78,51942
63,Everybody Wants Some!!,2016,6.9,83,51109
64,Florence Foster Jenkins,2016,6.8,71,49811
65,The Salesman,2016,7.8,85,49064
66,Gokseong,2016,7.4,81,47792
67,Keanu,2016,6.2,63,44967
68,Toni Erdmann,2016,7.4,93,43215
69,Koe no katachi,2016,8.1,78,41853
70,Imperium,2016,6.5,68,41207
71,Free Fire,2016,6.4,63,40871
72,20th Century Women,2016,7.3,83,38945
73,Before I Wake,2016,6.2,68,37996
74,American Honey,2016,7.0,79,37148
75,Logan,2017,8.1,77,630515
76,Thor: Ragnarok,2017,7.9,74,567940
77,Guardians of the Galaxy Vol. 2,2017,7.6,67,553171
78,Star Wars: The Last Jedi,2017,7.0,84,549956
79,Wonder Woman,2017,7.4,76,538264
80,Dunkirk,2017,7.9,94,536251
81,Spider-Man: Homecoming,2017,7.4,73,496602
82,Get Out,2017,7.7,85,475378
83,It,2017,7.3,69,444901
84,Blade Runner 2049,2017,8.0,81,444315
85,Baby Driver,2017,7.6,86,424985
86,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,414653
87,The Shape of Water,2017,7.3,87,359316
88,Coco,2017,8.4,81,356082
89,John Wick: Chapter 2,2017,7.5,75,354062
